level_id,enemy_id,spawn_rate,enemy_level
1,rusher,3000,1
1,swarm,4000,1
2,rusher,2900,1
2,swarm,3900,1
2,tank,6000,1
3,rusher,2700,2
3,swarm,3700,2
3,tank,5700,1
4,rusher,2600,2
4,swarm,3600,2
4,tank,5500,1
4,charger,5500,1
5,rusher,2500,3
5,swarm,3500,3
5,tank,5300,2
5,charger,5100,2
6,rusher,2400,3
6,swarm,3400,3
6,tank,5100,2
6,charger,4800,2
6,shooter,5000,1
7,rusher,2300,4
7,swarm,3300,4
7,tank,4800,3
7,charger,4500,3
7,shooter,4600,2
8,rusher,2200,4
8,swarm,3200,4
8,tank,4600,3
8,charger,4200,4
8,shooter,4300,3
9,rusher,2000,5
9,swarm,3000,5
9,tank,4300,4
9,charger,3800,4
9,shooter,3900,4
10,rusher,1800,5
10,swarm,2800,5
10,tank,4000,5
10,charger,3500,5
10,shooter,3600,5
